position,age
2.01,0.201
2.02,0.202
2.03,0.203
2.04,0.204
2.05,0.205
2.06,0.206
2.07,0.207
2.08,0.208
2.09,0.209
2.1,0.21
2.11,0.211
2.12,0.212
2.13,0.213
2.14,0.214
2.15,0.215
2.16,0.216
2.17,0.217
2.18,0.218
2.19,0.219
2.2,0.22
2.21,0.221
2.22,0.222
2.23,0.223
2.24,0.224
2.25,0.225
2.26,0.226
2.27,0.227
2.28,0.228
2.29,0.229
2.3,0.23
2.31,0.231
2.32,0.232
2.33,0.233
2.34,0.234
2.35,0.235
2.36,0.236
2.37,0.237
2.38,0.238
2.39,0.239
2.4,0.24
2.41,0.241
2.42,0.242
2.43,0.243
2.44,0.244
2.45,0.245
2.46,0.246
2.47,0.247
2.48,0.248
2.49,0.249
2.5,0.25
2.51,0.251
2.52,0.252
2.53,0.253
2.54,0.254
2.55,0.255
2.56,0.256
2.57,0.257
2.58,0.258
2.59,0.259
2.6,0.26
2.61,0.261
2.62,0.262
2.63,0.263
2.64,0.264
2.65,0.265
2.66,0.266
2.67,0.267
2.68,0.268
2.69,0.269
2.7,0.27
2.71,0.271
2.72,0.272
2.73,0.273
2.74,0.274
2.75,0.275
2.76,0.276
2.77,0.277
2.78,0.278
2.79,0.279
2.8,0.28
2.81,0.281
2.82,0.282
2.83,0.283
2.84,0.284
2.85,0.285
2.86,0.286
2.87,0.287
2.88,0.288
2.89,0.289
2.9,0.29
2.91,0.291
2.92,0.292
2.93,0.293
2.94,0.294
2.95,0.295
2.96,0.296
2.97,0.297
2.98,0.298
2.99,0.299
3,0.3
3.01,0.301
3.02,0.302
3.03,0.303
3.04,0.304
3.05,0.305
3.06,0.306
3.07,0.307
3.08,0.308
3.09,0.309
3.1,0.31
3.11,0.311
3.12,0.312
3.13,0.313
3.14,0.314
3.15,0.315
3.16,0.316
3.17,0.317
3.18,0.318
3.19,0.319
3.2,0.32
3.21,0.321
3.22,0.322
3.23,0.323
3.24,0.324
3.25,0.325
3.26,0.326
3.27,0.327
3.28,0.328
3.29,0.329
3.3,0.33
3.31,0.331
3.32,0.332
3.33,0.333
3.34,0.334
3.35,0.335
3.36,0.336
3.37,0.337
3.38,0.338
3.39,0.339
3.4,0.34
3.41,0.341
3.42,0.342
3.43,0.343
3.44,0.344
3.45,0.345
3.46,0.346
3.47,0.347
3.48,0.348
3.49,0.349
3.5,0.35
3.51,0.351
3.52,0.352
3.53,0.353
3.54,0.354
3.55,0.355
3.56,0.356
3.57,0.357
3.58,0.358
3.59,0.359
3.6,0.36
3.61,0.361
3.62,0.362
3.63,0.363
3.64,0.364
3.65,0.365
3.66,0.366
3.67,0.367
3.68,0.368
3.69,0.369
3.7,0.37
3.71,0.371
3.72,0.372
3.73,0.373
3.74,0.374
3.75,0.375
3.76,0.376
3.77,0.377
3.78,0.378
3.79,0.379
3.8,0.38
3.81,0.381
3.82,0.382
3.83,0.383
3.84,0.384
3.85,0.385
3.86,0.386
3.87,0.387
3.88,0.388
3.89,0.389
3.9,0.39
3.91,0.391
3.92,0.392
3.93,0.393
3.94,0.394
3.95,0.395
3.96,0.396
3.97,0.397
3.98,0.398
3.99,0.399
4,0.4
4.01,0.401
4.02,0.402
4.03,0.403
4.04,0.404
4.05,0.405
4.06,0.406
4.07,0.407
4.08,0.408
4.09,0.409
4.1,0.41
4.11,0.411
4.12,0.412
4.13,0.413
4.14,0.414
4.15,0.415
4.16,0.416
4.17,0.417
4.18,0.418
4.19,0.419
4.2,0.42
4.21,0.421
4.22,0.422
4.23,0.423
4.24,0.424
4.25,0.425
4.26,0.426
4.27,0.427
4.28,0.428
4.29,0.429
4.3,0.43
4.31,0.431
4.32,0.432
4.33,0.433
4.34,0.434
4.35,0.435
4.36,0.436
4.37,0.437
4.38,0.438
4.39,0.439
4.4,0.44
4.41,0.441
4.42,0.442
4.43,0.443
4.44,0.444
4.45,0.445
4.46,0.446
4.47,0.447
4.48,0.448
4.49,0.449
4.5,0.45
4.51,0.451
4.52,0.452
4.53,0.453
4.54,0.454
4.55,0.455
4.56,0.456
4.57,0.457
4.58,0.458
4.59,0.459
4.6,0.46
4.61,0.461
4.62,0.462
4.63,0.463
4.64,0.464
4.65,0.465
4.66,0.466
4.67,0.467
4.68,0.468
4.69,0.469
4.7,0.47
4.71,0.471
4.72,0.472
4.73,0.473
4.74,0.474
4.75,0.475
4.76,0.476
4.77,0.477
4.78,0.478
4.79,0.479
4.8,0.48
4.81,0.481
4.82,0.482
4.83,0.483
4.84,0.484
4.85,0.485
4.86,0.486
4.87,0.487
4.88,0.488
4.89,0.489
4.9,0.49
4.91,0.491
4.92,0.492
4.93,0.493
4.94,0.494
4.95,0.495
4.96,0.496
4.97,0.497
4.98,0.498
4.99,0.499
5,0.5
5.01,0.501
5.020005,0.502
5.030015,0.503
5.04003,0.504
5.05005,0.505
5.060075,0.506
5.070105,0.507
5.08014,0.508
5.09018,0.509
5.100225,0.51
5.110275,0.511
5.12033,0.512
5.13039,0.513
5.140455,0.514
5.150525,0.515
5.1606,0.516
5.17068,0.517
5.180765,0.518
5.190855,0.519
5.20095,0.52
5.21105,0.521
5.221155,0.522
5.231265,0.523
5.24138,0.524
5.2515,0.525
5.261625,0.526
5.271755,0.527
5.28189,0.528
5.29203,0.529
5.302175,0.53
5.312325,0.531
5.32248,0.532
5.33264,0.533
5.342805,0.534
5.352975,0.535
5.36315,0.536
5.37333,0.537
5.383515,0.538
5.393705,0.539
5.4039,0.54
5.4141,0.541
5.424305,0.542
5.434515,0.543
5.44473,0.544
5.45495,0.545
5.465175,0.546
5.475405,0.547
5.48564,0.548
5.49588,0.549
5.506125,0.55
5.516375,0.551
5.52663,0.552
5.53689,0.553
5.547155,0.554
5.557425,0.555
5.5677,0.556
5.57798,0.557
5.588265,0.558
5.598555,0.559
5.60885,0.56
5.61915,0.561
5.629455,0.562
5.639765,0.563
5.65008,0.564
5.6604,0.565
5.670725,0.566
5.681055,0.567
5.69139,0.568
5.70173,0.569
5.712075,0.57
5.722425,0.571
5.73278,0.572
5.74314,0.573
5.753505,0.574
5.763875,0.575
5.77425,0.576
5.78463,0.577
5.795015,0.578
5.805405,0.579
5.8158,0.58
5.8262,0.581
5.836605,0.582
5.847015,0.583
5.85743,0.584
5.86785,0.585
5.878275,0.586
5.888705,0.587
5.89914,0.588
5.90958,0.589
5.920025,0.59
5.930475,0.591
5.94093,0.592
5.95139,0.593
5.961855,0.594
5.972325,0.595
5.9828,0.596
5.99328,0.597
6.003765,0.598
6.014255,0.599
6.02475,0.6
6.03525,0.601
6.045755,0.602
6.056265,0.603
6.06678,0.604
6.0773,0.605
6.087825,0.606
6.098355,0.607
6.10889,0.608
6.11943,0.609
6.129975,0.61
6.140525,0.611
6.15108,0.612
6.16164,0.613
6.172205,0.614
6.182775,0.615
6.19335,0.616
6.20393,0.617
6.214515,0.618
6.225105,0.619
6.2357,0.62
6.2463,0.621
6.256905,0.622
6.267515,0.623
6.27813,0.624
6.28875,0.625
6.299375,0.626
6.310005,0.627
6.32064,0.628
6.33128,0.629
6.341925,0.63
6.352575,0.631
6.36323,0.632
6.37389,0.633
6.384555,0.634
6.395225,0.635
6.4059,0.636
6.41658,0.637
6.427265,0.638
6.437955,0.639
6.44865,0.64
6.45935,0.641
6.470055,0.642
6.480765,0.643
6.49148,0.644
6.5022,0.645
6.512925,0.646
6.523655,0.647
6.53439,0.648
6.54513,0.649
6.555875,0.65
6.566625,0.651
6.57738,0.652
6.58814,0.653
6.598905,0.654
6.609675,0.655
6.62045,0.656
6.63123,0.657
6.642015,0.658
6.652805,0.659
6.6636,0.66
6.6744,0.661
6.685205,0.662
6.696015,0.663
6.70683,0.664
6.71765,0.665
6.728475,0.666
6.739305,0.667
6.75014,0.668
6.76098,0.669
6.771825,0.67
6.782675,0.671
6.79353,0.672
6.80439,0.673
6.815255,0.674
6.826125,0.675
6.837,0.676
6.84788,0.677
6.858765,0.678
6.869655,0.679
6.88055,0.68
6.89145,0.681
6.902355,0.682
6.913265,0.683
6.92418,0.684
6.9351,0.685
6.946025,0.686
6.956955,0.687
6.96789,0.688
6.97883,0.689
6.989775,0.69
7.000725,0.691
7.01168,0.692
7.02264,0.693
7.033605,0.694
7.044575,0.695
7.05555,0.696
7.06653,0.697
7.077515,0.698
7.088505,0.699
7.0995,0.7
7.1105,0.701
7.121505,0.702
7.132515,0.703
7.14353,0.704
7.15455,0.705
7.165575,0.706
7.176605,0.707
7.18764,0.708
7.19868,0.709
7.209725,0.71
7.220775,0.711
7.23183,0.712
7.24289,0.713
7.253955,0.714
7.265025,0.715
7.2761,0.716
7.28718,0.717
7.298265,0.718
7.309355,0.719
7.32045,0.72
7.33155,0.721
7.342655,0.722
7.353765,0.723
7.36488,0.724
7.376,0.725
7.387125,0.726
7.398255,0.727
7.40939,0.728
7.42053,0.729
7.431675,0.73
7.442825,0.731
7.45398,0.732
7.46514,0.733
7.476305,0.734
7.487475,0.735
7.49865,0.736
7.50983,0.737
7.521015,0.738
7.532205,0.739
7.5434,0.74
7.5546,0.741
7.565805,0.742
7.577015,0.743
7.58823,0.744
7.59945,0.745
7.610675,0.746
7.621905,0.747
7.63314,0.748
7.64438,0.749
7.655625,0.75
7.666875,0.751
7.67813,0.752
7.68939,0.753
7.700655,0.754
7.711925,0.755
7.7232,0.756
7.73448,0.757
7.745765,0.758
7.757055,0.759
7.76835,0.76
7.77965,0.761
7.790955,0.762
7.802265,0.763
7.81358,0.764
7.8249,0.765
7.836225,0.766
7.847555,0.767
7.85889,0.768
7.87023,0.769
7.881575,0.77
7.892925,0.771
7.90428,0.772
7.91564,0.773
7.927005,0.774
7.938375,0.775
7.94975,0.776
7.96113,0.777
7.972515,0.778
7.983905,0.779
7.9953,0.78
8.0067,0.781
8.018105,0.782
8.029515,0.783
8.04093,0.784
8.05235,0.785
8.063775,0.786
8.075205,0.787
8.08664,0.788
8.09808,0.789
8.109525,0.79
8.120975,0.791
8.13243,0.792
8.14389,0.793
8.155355,0.794
8.166825,0.795
8.1783,0.796
8.18978,0.797
8.201265,0.798
8.212755,0.799
8.22425,0.8
8.23575,0.801
8.247255,0.802
8.258765,0.803
8.27028,0.804
8.2818,0.805
8.293325,0.806
8.304855,0.807
8.31639,0.808
8.32793,0.809
8.339475,0.81
8.351025,0.811
8.36258,0.812
8.37414,0.813
8.385705,0.814
8.397275,0.815
8.40885,0.816
8.42043,0.817
8.432015,0.818
8.443605,0.819
8.4552,0.82
8.4668,0.821
8.478405,0.822
8.490015,0.823
8.50163,0.824
8.51325,0.825
8.524875,0.826
8.536505,0.827
8.54814,0.828
8.55978,0.829
8.571425,0.83
8.583075,0.831
8.59473,0.832
8.60639,0.833
8.618055,0.834
8.629725,0.835
8.6414,0.836
8.65308,0.837
8.664765,0.838
8.676455,0.839
8.68815,0.84
8.69985,0.841
8.711555,0.842
8.723265,0.843
8.73498,0.844
8.7467,0.845
8.758425,0.846
8.770155,0.847
8.78189,0.848
8.79363,0.849
8.805375,0.85
8.817125,0.851
8.82888,0.852
8.84064,0.853
8.852405,0.854
8.864175,0.855
8.87595,0.856
8.88773,0.857
8.899515,0.858
8.911305,0.859
8.9231,0.86
8.9349,0.861
8.946705,0.862
8.958515,0.863
8.97033,0.864
8.98215,0.865
8.993975,0.866
9.005805,0.867
9.01764,0.868
9.02948,0.869
9.041325,0.87
9.053175,0.871
9.06503,0.872
9.07689,0.873
9.088755,0.874
9.100625,0.875
9.1125,0.876
9.12438,0.877
9.136265,0.878
9.148155,0.879
9.16005,0.88
9.17195,0.881
9.183855,0.882
9.195765,0.883
9.20768,0.884
9.2196,0.885
9.231525,0.886
9.243455,0.887
9.25539,0.888
9.26733,0.889
9.279275,0.89
9.291225,0.891
9.30318,0.892
9.31514,0.893
9.327105,0.894
9.339075,0.895
9.35105,0.896
9.36303,0.897
9.375015,0.898
9.387005,0.899
9.399,0.9
9.411,0.901
9.423005,0.902
9.435015,0.903
9.44703,0.904
9.45905,0.905
9.471075,0.906
9.483105,0.907
9.49514,0.908
9.50718,0.909
9.519225,0.91
9.531275,0.911
9.54333,0.912
9.55539,0.913
9.567455,0.914
9.579525,0.915
9.5916,0.916
9.60368,0.917
9.615765,0.918
9.627855,0.919
9.63995,0.92
9.65205,0.921
9.664155,0.922
9.676265,0.923
9.68838,0.924
9.7005,0.925
9.712625,0.926
9.724755,0.927
9.73689,0.928
9.74903,0.929
9.761175,0.93
9.773325,0.931
9.78548,0.932
9.79764,0.933
9.809805,0.934
9.821975,0.935
9.83415,0.936
9.84633,0.937
9.858515,0.938
9.870705,0.939
9.8829,0.94
9.8951,0.941
9.907305,0.942
9.919515,0.943
9.93173,0.944
9.94395,0.945
9.956175,0.946
9.968405,0.947
9.98064,0.948
9.99288,0.949
10.005125,0.95
10.017375,0.951
10.02963,0.952
10.04189,0.953
10.054155,0.954
10.066425,0.955
10.0787,0.956
10.09098,0.957
10.103265,0.958
10.115555,0.959
10.12785,0.96
10.14015,0.961
10.152455,0.962
10.164765,0.963
10.17708,0.964
10.1894,0.965
10.201725,0.966
10.214055,0.967
10.22639,0.968
10.23873,0.969
10.251075,0.97
10.263425,0.971
10.27578,0.972
10.28814,0.973
10.300505,0.974
10.312875,0.975
10.32525,0.976
10.33763,0.977
10.350015,0.978
10.362405,0.979
10.3748,0.98
10.3872,0.981
10.399605,0.982
10.412015,0.983
10.42443,0.984
10.43685,0.985
10.449275,0.986
10.461705,0.987
10.47414,0.988
10.48658,0.989
10.499025,0.99
10.511475,0.991
10.52393,0.992
10.53639,0.993
10.548855,0.994
10.561325,0.995
10.5738,0.996
10.58628,0.997
10.598765,0.998
10.611255,0.999
10.62375,1
10.63625,1.001
10.64874,1.002
10.66122,1.003
10.67369,1.004
10.68615,1.005
10.6986,1.006
10.71104,1.007
10.72347,1.008
10.73589,1.009
10.7483,1.01
10.7607,1.011
10.77309,1.012
10.78547,1.013
10.79784,1.014
10.8102,1.015
10.82255,1.016
10.83489,1.017
10.84722,1.018
10.85954,1.019
10.87185,1.02
10.88415,1.021
10.89644,1.022
10.90872,1.023
10.92099,1.024
10.93325,1.025
10.9455,1.026
10.95774,1.027
10.96997,1.028
10.98219,1.029
10.9944,1.03
11.0066,1.031
11.01879,1.032
11.03097,1.033
11.04314,1.034
11.0553,1.035
11.06745,1.036
11.07959,1.037
11.09172,1.038
11.10384,1.039
11.11595,1.04
11.12805,1.041
11.14014,1.042
11.15222,1.043
11.16429,1.044
11.17635,1.045
11.1884,1.046
11.20044,1.047
11.21247,1.048
11.22449,1.049
11.2365,1.05
11.2485,1.051
11.26049,1.052
11.27247,1.053
11.28444,1.054
11.2964,1.055
11.30835,1.056
11.32029,1.057
11.33222,1.058
11.34414,1.059
11.35605,1.06
11.36795,1.061
11.37984,1.062
11.39172,1.063
11.40359,1.064
11.41545,1.065
11.4273,1.066
11.43914,1.067
11.45097,1.068
11.46279,1.069
11.4746,1.07
11.4864,1.071
11.49819,1.072
11.50997,1.073
11.52174,1.074
11.5335,1.075
11.54525,1.076
11.55699,1.077
11.56872,1.078
11.58044,1.079
11.59215,1.08
11.60385,1.081
11.61554,1.082
11.62722,1.083
11.63889,1.084
11.65055,1.085
11.6622,1.086
11.67384,1.087
11.68547,1.088
11.69709,1.089
11.7087,1.09
11.7203,1.091
11.73189,1.092
11.74347,1.093
11.75504,1.094
11.7666,1.095
11.77815,1.096
11.78969,1.097
11.80122,1.098
11.81274,1.099
11.82425,1.1
11.83575,1.101
11.84724,1.102
11.85872,1.103
11.87019,1.104
11.88165,1.105
11.8931,1.106
11.90454,1.107
11.91597,1.108
11.92739,1.109
11.9388,1.11
11.9502,1.111
11.96159,1.112
11.97297,1.113
11.98434,1.114
11.9957,1.115
12.00705,1.116
12.01839,1.117
12.02972,1.118
12.04104,1.119
12.05235,1.12
12.06365,1.121
12.07494,1.122
12.08622,1.123
12.09749,1.124
12.10875,1.125
12.12,1.126
12.13124,1.127
12.14247,1.128
12.15369,1.129
12.1649,1.13
12.1761,1.131
12.18729,1.132
12.19847,1.133
12.20964,1.134
12.2208,1.135
12.23195,1.136
12.24309,1.137
12.25422,1.138
12.26534,1.139
12.27645,1.14
12.28755,1.141
12.29864,1.142
12.30972,1.143
12.32079,1.144
12.33185,1.145
12.3429,1.146
12.35394,1.147
12.36497,1.148
12.37599,1.149
12.387,1.15
12.398,1.151
12.40899,1.152
12.41997,1.153
12.43094,1.154
12.4419,1.155
12.45285,1.156
12.46379,1.157
12.47472,1.158
12.48564,1.159
12.49655,1.16
12.50745,1.161
12.51834,1.162
12.52922,1.163
12.54009,1.164
12.55095,1.165
12.5618,1.166
12.57264,1.167
12.58347,1.168
12.59429,1.169
12.6051,1.17
12.6159,1.171
12.62669,1.172
12.63747,1.173
12.64824,1.174
12.659,1.175
12.66975,1.176
12.68049,1.177
12.69122,1.178
12.70194,1.179
12.71265,1.18
12.72335,1.181
12.73404,1.182
12.74472,1.183
12.75539,1.184
12.76605,1.185
12.7767,1.186
12.78734,1.187
12.79797,1.188
12.80859,1.189
12.8192,1.19
12.8298,1.191
12.84039,1.192
12.85097,1.193
12.86154,1.194
12.8721,1.195
12.88265,1.196
12.89319,1.197
12.90372,1.198
12.91424,1.199
12.92475,1.2
12.93525,1.201
12.94574,1.202
12.95622,1.203
12.96669,1.204
12.97715,1.205
12.9876,1.206
12.99804,1.207
13.00847,1.208
13.01889,1.209
13.0293,1.21
13.0397,1.211
13.05009,1.212
13.06047,1.213
13.07084,1.214
13.0812,1.215
13.09155,1.216
13.10189,1.217
13.11222,1.218
13.12254,1.219
13.13285,1.22
13.14315,1.221
13.15344,1.222
13.16372,1.223
13.17399,1.224
13.18425,1.225
13.1945,1.226
13.20474,1.227
13.21497,1.228
13.22519,1.229
13.2354,1.23
13.2456,1.231
13.25579,1.232
13.26597,1.233
13.27614,1.234
13.2863,1.235
13.29645,1.236
13.30659,1.237
13.31672,1.238
13.32684,1.239
13.33695,1.24
13.34705,1.241
13.35714,1.242
13.36722,1.243
13.37729,1.244
13.38735,1.245
13.3974,1.246
13.40744,1.247
13.41747,1.248
13.42749,1.249
13.4375,1.25
13.4475,1.251
13.45749,1.252
13.46747,1.253
13.47744,1.254
13.4874,1.255
13.49735,1.256
13.50729,1.257
13.51722,1.258
13.52714,1.259
13.53705,1.26
13.54695,1.261
13.55684,1.262
13.56672,1.263
13.57659,1.264
13.58645,1.265
13.5963,1.266
13.60614,1.267
13.61597,1.268
13.62579,1.269
13.6356,1.27
13.6454,1.271
13.65519,1.272
13.66497,1.273
13.67474,1.274
13.6845,1.275
13.69425,1.276
13.70399,1.277
13.71372,1.278
13.72344,1.279
13.73315,1.28
13.74285,1.281
13.75254,1.282
13.76222,1.283
13.77189,1.284
13.78155,1.285
13.7912,1.286
13.80084,1.287
13.81047,1.288
13.82009,1.289
13.8297,1.29
13.8393,1.291
13.84889,1.292
13.85847,1.293
13.86804,1.294
13.8776,1.295
13.88715,1.296
13.89669,1.297
13.90622,1.298
13.91574,1.299
13.92525,1.3
13.93475,1.301
13.94424,1.302
13.95372,1.303
13.96319,1.304
13.97265,1.305
13.9821,1.306
13.99154,1.307
14.00097,1.308
14.01039,1.309
14.0198,1.31
14.0292,1.311
14.03859,1.312
14.04797,1.313
14.05734,1.314
14.0667,1.315
14.07605,1.316
14.08539,1.317
14.09472,1.318
14.10404,1.319
14.11335,1.32
14.12265,1.321
14.13194,1.322
14.14122,1.323
14.15049,1.324
14.15975,1.325
14.169,1.326
14.17824,1.327
14.18747,1.328
14.19669,1.329
14.2059,1.33
14.2151,1.331
14.22429,1.332
14.23347,1.333
14.24264,1.334
14.2518,1.335
14.26095,1.336
14.27009,1.337
14.27922,1.338
14.28834,1.339
14.29745,1.34
14.30655,1.341
14.31564,1.342
14.32472,1.343
14.33379,1.344
14.34285,1.345
14.3519,1.346
14.36094,1.347
14.36997,1.348
14.37899,1.349
14.388,1.35
14.397,1.351
14.40599,1.352
14.41497,1.353
14.42394,1.354
14.4329,1.355
14.44185,1.356
14.45079,1.357
14.45972,1.358
14.46864,1.359
14.47755,1.36
14.48645,1.361
14.49534,1.362
14.50422,1.363
14.51309,1.364
14.52195,1.365
14.5308,1.366
14.53964,1.367
14.54847,1.368
14.55729,1.369
14.5661,1.37
14.5749,1.371
14.58369,1.372
14.59247,1.373
14.60124,1.374
14.61,1.375
14.61875,1.376
14.62749,1.377
14.63622,1.378
14.64494,1.379
14.65365,1.38
14.66235,1.381
14.67104,1.382
14.67972,1.383
14.68839,1.384
14.69705,1.385
14.7057,1.386
14.71434,1.387
14.72297,1.388
14.73159,1.389
14.7402,1.39
14.7488,1.391
14.75739,1.392
14.76597,1.393
14.77454,1.394
14.7831,1.395
14.79165,1.396
14.80019,1.397
14.80872,1.398
14.81724,1.399
14.82575,1.4
14.83425,1.401
14.84274,1.402
14.85122,1.403
14.85969,1.404
14.86815,1.405
14.8766,1.406
14.88504,1.407
14.89347,1.408
14.90189,1.409
14.9103,1.41
14.9187,1.411
14.92709,1.412
14.93547,1.413
14.94384,1.414
14.9522,1.415
14.96055,1.416
14.96889,1.417
14.97722,1.418
14.98554,1.419
14.99385,1.42
15.00215,1.421
15.01044,1.422
15.01872,1.423
15.02699,1.424
15.03525,1.425
15.0435,1.426
15.05174,1.427
15.05997,1.428
15.06819,1.429
15.0764,1.43
15.0846,1.431
15.09279,1.432
15.10097,1.433
15.10914,1.434
15.1173,1.435
15.12545,1.436
15.13359,1.437
15.14172,1.438
15.14984,1.439
15.15795,1.44
15.16605,1.441
15.17414,1.442
15.18222,1.443
15.19029,1.444
15.19835,1.445
15.2064,1.446
15.21444,1.447
15.22247,1.448
15.23049,1.449
15.2385,1.45
15.2465,1.451
15.25449,1.452
15.26247,1.453
15.27044,1.454
15.2784,1.455
15.28635,1.456
15.29429,1.457
15.30222,1.458
15.31014,1.459
15.31805,1.46
15.32595,1.461
15.33384,1.462
15.34172,1.463
15.34959,1.464
15.35745,1.465
15.3653,1.466
15.37314,1.467
15.38097,1.468
15.38879,1.469
15.3966,1.47
15.4044,1.471
15.41219,1.472
15.41997,1.473
15.42774,1.474
15.4355,1.475
15.44325,1.476
15.45099,1.477
15.45872,1.478
15.46644,1.479
15.47415,1.48
15.48185,1.481
15.48954,1.482
15.49722,1.483
15.50489,1.484
15.51255,1.485
15.5202,1.486
15.52784,1.487
15.53547,1.488
15.54309,1.489
15.5507,1.49
15.5583,1.491
15.56589,1.492
15.57347,1.493
15.58104,1.494
15.5886,1.495
15.59615,1.496
15.60369,1.497
15.61122,1.498
15.61874,1.499
15.62625,1.5
15.63375,1.501
15.64125,1.502
15.64875,1.503
15.65625,1.504
15.66375,1.505
15.67125,1.506
15.67875,1.507
15.68625,1.508
15.69375,1.509
15.70125,1.51
15.70875,1.511
15.71625,1.512
15.72375,1.513
15.73125,1.514
15.73875,1.515
15.74625,1.516
15.75375,1.517
15.76125,1.518
15.76875,1.519
15.77625,1.52
15.78375,1.521
15.79125,1.522
15.79875,1.523
15.80625,1.524
15.81375,1.525
15.82125,1.526
15.82875,1.527
15.83625,1.528
15.84375,1.529
15.85125,1.53
15.85875,1.531
15.86625,1.532
15.87375,1.533
15.88125,1.534
15.88875,1.535
15.89625,1.536
15.90375,1.537
15.91125,1.538
15.91875,1.539
15.92625,1.54
15.93375,1.541
15.94125,1.542
15.94875,1.543
15.95625,1.544
15.96375,1.545
15.97125,1.546
15.97875,1.547
15.98625,1.548
15.99375,1.549
16.00125,1.55
16.00875,1.551
16.01625,1.552
16.02375,1.553
16.03125,1.554
16.03875,1.555
16.04625,1.556
16.05375,1.557
16.06125,1.558
16.06875,1.559
16.07625,1.56
16.08375,1.561
16.09125,1.562
16.09875,1.563
16.10625,1.564
16.11375,1.565
16.12125,1.566
16.12875,1.567
16.13625,1.568
16.14375,1.569
16.15125,1.57
16.15875,1.571
16.16625,1.572
16.17375,1.573
16.18125,1.574
16.18875,1.575
16.19625,1.576
16.20375,1.577
16.21125,1.578
16.21875,1.579
16.22625,1.58
16.23375,1.581
16.24125,1.582
16.24875,1.583
16.25625,1.584
16.26375,1.585
16.27125,1.586
16.27875,1.587
16.28625,1.588
16.29375,1.589
16.30125,1.59
16.30875,1.591
16.31625,1.592
16.32375,1.593
16.33125,1.594
16.33875,1.595
16.34625,1.596
16.35375,1.597
16.36125,1.598
16.36875,1.599
16.37625,1.6
16.38375,1.601
16.39125,1.602
16.39875,1.603
16.40625,1.604
16.41375,1.605
16.42125,1.606
16.42875,1.607
16.43625,1.608
16.44375,1.609
16.45125,1.61
16.45875,1.611
16.46625,1.612
